ticker,year,folder_name,exchange,lagged_year,company_name
ENPH,2016,,,,
ENTA,2011,,,,
ENTA,2013,,,,
ENTG,2006,,,,
ENTG,2007,,,,
ENTG,2008,,,,
ENTG,2010,,,,
ENTG,2011,,,,
ENTG,2012,,,,
ENTG,2013,,,,
ENTG,2014,,,,
ENTG,2015,,,,
ENTG,2016,,,,
ENTR,2010,,,,
EPZM,2017,,,,
ERII,2005,,,,
ERII,2008,,,,
ERII,2010,,,,
ERII,2011,,,,
ERII,2013,,,,
ERII,2014,,,,
EVLO,2015,,,,
EVLO,2018,,,,
EXAR,2009,,,,
EXAR,2010,,,,
EXAR,2011,,,,
EXEL,2006,,,,
EXEL,2011,,,,
EXEL,2017,,,,
EXTR,2005,,,,
EXTR,2007,,,,
EXTR,2009,,,,
EXTR,2010,,,,
EXTR,2013,,,,
EXTR,2017,,,,
F,2004,,,,
F,2005,,,,
F,2006,,,,
F,2007,,,,
F,2008,,,,
F,2009,,,,
F,2010,,,,
F,2011,,,,
F,2012,,,,
F,2013,,,,
F,2014,,,,
F,2015,,,,
FARO,2013,,,,
FATE,2017,,,,
FCEL,2005,,,,
FCEL,2006,,,,
FCEL,2007,,,,
FCEL,2008,,,,
FCEL,2009,,,,
FCEL,2010,,,,
FCEL,2011,,,,
FCEL,2012,,,,
FCEL,2013,,,,
FCEL,2014,,,,
FCEL,2015,,,,
FCS,2007,,,,
FCS,2008,,,,
FCS,2009,,,,
FCS,2010,,,,
FCS,2011,,,,
FCS,2012,,,,
FCS,2013,,,,
FCS,2014,,,,
FDML,2008,,,,
FDML,2009,,,,
FDML,2012,,,,
FDML,2014,,,,
FEIC,2010,,,,
FELE,2014,,,,
FEYE,2018,,,,
FFIV,2010,,,,
FFIV,2012,,,,
FIO,2007,,,,
FIO,2010,,,,
FIO,2011,,,,
FIO,2012,,,,
FIT,2014,,,,
FIT,2015,,,,
FIT,2017,,,,
FIT,2018,,,,
FLIR,2008,,,,
FLOW,2007,,,,
FLOW,2008,,,,
FMC,2002,,,,
FMC,2005,,,,
FMC,2010,,,,
FNSR,2009,,,,
FNSR,2015,,,,
FNSR,2017,,,,
FOE,2005,,,,
FOE,2006,,,,
FOE,2007,,,,
FOE,2008,,,,
FOE,2010,,,,
FOE,2011,,,,
FOE,2014,,,,
FOE,2015,,,,
FORM,2009,,,,
FSLR,2006,,,,
FSLR,2007,,,,
FSLR,2008,,,,
FSLR,2009,,,,
FSLR,2010,,,,
FSLR,2011,,,,
FSLR,2012,,,,
FSLR,2013,,,,
FSLR,2014,,,,
FSLR,2015,,,,
FSLR,2016,,,,
FSS,2012,,,,
FSS,2015,,,,
FTNT,2014,,,,
GE,2002,,,,
GE,2003,,,,
GE,2004,,,,
GE,2005,,,,
GE,2006,,,,
GE,2007,,,,
GE,2008,,,,
GE,2009,,,,
GE,2010,,,,
GE,2011,,,,
GE,2012,,,,
GE,2013,,,,
GE,2014,,,,
GE,2015,,,,
GE,2016,,,,
GE,2017,,,,
GE,2018,,,,
GEVO,2008,,,,
GEVO,2010,,,,
GEVO,2011,,,,
GEVO,2012,,,,
GEVO,2013,,,,
GEVO,2014,,,,
GEVO,2015,,,,
GGG,2012,,,,
GILD,2005,,,,
GILD,2008,,,,
GILD,2009,,,,
GILD,2010,,,,
GILD,2011,,,,
GILD,2012,,,,
GILD,2013,,,,
GILD,2014,,,,
GILD,2015,,,,
GILD,2017,,,,
GILD,2018,,,,
GIMO,2014,,,,
GIS,2007,,,,
GLT,2008,,,,
GLW,2001,,,,
GLW,2004,,,,
GLW,2005,,,,
GLW,2006,,,,
GLW,2007,,,,
GLW,2008,,,,
GLW,2009,,,,
GLW,2010,,,,
GLW,2011,,,,
GLW,2012,,,,
GLW,2013,,,,
GLW,2014,,,,
GLW,2015,,,,
GLW,2016,,,,
GLW,2017,,,,
GLW,2018,,,,
GM,2003,,,,
GM,2004,,,,
GM,2005,,,,
GM,2006,,,,
GM,2007,,,,
GM,2008,,,,
GM,2009,,,,
GM,2010,,,,
GM,2011,,,,
GM,2012,,,,
GM,2013,,,,
GM,2014,,,,
GM,2015,,,,
GNRC,2011,,,,
GNTX,2010,,,,
GNTX,2014,,,,
GNTX,2015,,,,
GNVC,2006,,,,
GNVC,2011,,,,
GPRO,2015,,,,
GPRO,2016,,,,
GPRO,2017,,,,
GR,2006,,,,
GR,2007,,,,
GRMN,2012,,,,
GRMN,2015,,,,
GRMN,2017,,,,
GSIT,2014,,,,
GSIT,2016,,,,
GT,2008,,,,
GT,2009,,,,
GT,2010,,,,
GT,2011,,,,
GT,2012,,,,
GT,2013,,,,
GT,2014,,,,
GT,2015,,,,
GTI,2004,,,,
GTI,2005,,,,
GTI,2006,,,,
GTI,2011,,,,
GTI,2013,,,,
HAL,2006,,,,
HAL,2007,,,,
HAL,2008,,,,
HAL,2009,,,,
HAL,2010,,,,
HAL,2011,,,,
HAL,2012,,,,
HAL,2013,,,,
HAL,2014,,,,
HAL,2015,,,,
HAL,2016,,,,
HAL,2017,,,,
HAL,2018,,,,
HALO,2017,,,,
HDSN,2008,,,,
HDSN,2011,,,,
HDSN,2012,,,,
HDSN,2013,,,,
HDSN,2014,,,,
HELE,2010,,,,
HELE,2014,,,,
HGSI,2000,,,,
HGSI,2007,,,,
HGSI,2009,,,,
HGSI,2010,,,,
HGSI,2011,,,,
HIG,2007,,,,
HIG,2008,,,,
HIG,2011,,,,
HIG,2012,,,,
HIVE,2008,,,,
HIVE,2017,,,,
HON,2003,,,,
HON,2004,,,,
HON,2005,,,,
HON,2006,,,,
HON,2007,,,,
HON,2008,,,,
HON,2009,,,,
HON,2010,,,,
HON,2011,,,,
HON,2012,,,,
HON,2013,,,,
HON,2014,,,,
HON,2015,,,,
HON,2016,,,,
HON,2017,,,,
HON,2018,,,,
HPC,2005,,,,
HRC,2010,,,,
HRS,2006,,,,
HRS,2007,,,,
HRS,2008,,,,
HRS,2009,,,,
HRS,2010,,,,
HRS,2011,,,,
HRS,2012,,,,
HRS,2013,,,,
HRS,2014,,,,
HRS,2015,,,,
HRS,2016,,,,
HUBB,2012,,,,
HUBB,2014,,,,
HUBB,2015,,,,
HUBB,2016,,,,
HUBB,2017,,,,
HUBB,2018,,,,
HXL,2009,,,,
HXL,2010,,,,
HXL,2012,,,,
HXL,2013,,,,
HXL,2016,,,,
HZO,2012,,,,
IBM,2001,,,,
IBM,2007,,,,
ICE,2002,,,,
IDCC,2003,,,,
IDCC,2005,,,,
IDCC,2006,,,,
IDCC,2007,,,,
IDCC,2008,,,,
IDCC,2009,,,,
IDCC,2010,,,,
IDCC,2011,,,,
IDCC,2012,,,,
IDCC,2013,,,,
IDCC,2014,,,,
IDCC,2015,,,,
IDCC,2016,,,,
IDCC,2017,,,,
IDCC,2018,,,,
IDTI,2007,,,,
IDTI,2008,,,,
IDTI,2010,,,,
IDTI,2012,,,,
IDTI,2013,,,,
IDTI,2014,,,,
IDTI,2016,,,,
IDXX,2009,,,,
IDXX,2012,,,,
IKAN,2009,,,,
IKAN,2013,,,,
ILMN,2015,,,,
ILMN,2016,,,,
ILMN,2017,,,,
IMDZ,2013,,,,
IMGN,2004,,,,
IMGN,2007,,,,
IMGN,2008,,,,
IMGN,2009,,,,
IMGN,2012,,,,
IMGN,2013,,,,
IMGN,2015,,,,
IMGN,2017,,,,
IMGN,2018,,,,
IMI,2007,,,,
IMI,2010,,,,
IMI,2011,,,,
IMI,2012,,,,
IMI,2013,,,,
IMI,2014,,,,
IMMR,2007,,,,
IMMR,2011,,,,
IMMR,2012,,,,
IMMR,2014,,,,
IMMR,2016,,,,
IMMR,2017,,,,
IMMU,2005,,,,
IMMU,2009,,,,
IMMU,2010,,,,
IMMU,2012,,,,
IMMU,2013,,,,
IMMU,2014,,,,
IMMU,2017,,,,
IMMU,2018,,,,
IMMU,2019,,,,
INFN,2011,,,,
INGN,2011,,,,
INSM,2010,,,,
INSM,2014,,,,
INSM,2018,,,,
INTC,2002,,,,
INTC,2003,,,,
INTC,2004,,,,
INTC,2005,,,,
INTC,2008,,,,
INTC,2010,,,,
INTC,2013,,,,
INTC,2014,,,,
INTC,2017,,,,
INTC,2018,,,,
INTC,2019,,,,
INVN,2010,,,,
INVN,2011,,,,
INVN,2012,,,,
IONS,2003,,,,
IONS,2004,,,,
IONS,2005,,,,
IONS,2006,,,,
IONS,2007,,,,
IONS,2008,,,,
IONS,2009,,,,
IONS,2010,,,,
IONS,2011,,,,
IONS,2012,,,,
IONS,2015,,,,
IOTS,2016,,,,
IP,2010,,,,
IP,2011,,,,
IP,2013,,,,
IP,2014,,,,
IPGP,2015,,,,
IPGP,2016,,,,
IPGP,2017,,,,
IPHI,2012,,,,
IPHI,2013,,,,
IPHI,2014,,,,
IPHI,2016,,,,
IPHI,2017,,,,
IPWR,2013,,,,
IPWR,2014,,,,
IPWR,2015,,,,
IRBT,2005,,,,
IRBT,2006,,,,
IRBT,2007,,,,
IRBT,2008,,,,
IRBT,2009,,,,
IRBT,2010,,,,
IRBT,2011,,,,
IRBT,2012,,,,
IRBT,2013,,,,
IRBT,2014,,,,
IRBT,2015,,,,
IRBT,2016,,,,
IRBT,2017,,,,
IRBT,2018,,,,
IRF,2006,,,,
IRF,2007,,,,
IRF,2008,,,,
IRF,2009,,,,
IRF,2010,,,,
IRF,2011,,,,
IRF,2012,,,,
ISIL,2004,,,,
ISIL,2006,,,,
ISIL,2008,,,,
ISIL,2009,,,,
ISIL,2010,,,,
ISIL,2011,,,,
ISIL,2012,,,,
ISIL,2013,,,,
ISIL,2014,,,,
ISIL,2015,,,,
ISRG,2011,,,,
ISRG,2014,,,,
ISRG,2018,,,,
ITMN,2009,,,,
ITMN,2010,,,,
ITMN,2011,,,,
ITMN,2013,,,,
ITRI,2005,,,,
ITRI,2006,,,,
ITRI,2007,,,,
ITRI,2008,,,,
ITRI,2009,,,,
ITRI,2010,,,,
ITRI,2011,,,,
ITRI,2012,,,,
ITRI,2013,,,,
ITRI,2014,,,,
ITRI,2015,,,,
ITRI,2017,,,,
ITW,2005,,,,
ITW,2006,,,,
ITW,2007,,,,
ITW,2008,,,,
ITW,2009,,,,
IVAC,2009,,,,
IVAC,2009,,,,
IVAC,2010,,,,
IVAC,2011,,,,
IVAC,2012,,,,
